"","atax","atay","trx","try","ataturk","turkiye"
"98",0.0975,-0.0138,0.0233,0.523,0.04185,0.27315
"99",0.09,0.8564,0.024,0.2772,0.4732,0.1506
"100",0.0907,0.83,0.0241,0.856,0.46035,0.44005
"101",0.099,0.1206,0.0231,0.848,0.1098,0.43555
"102",0.1041,0.0444,0.0244,0.6453,0.07425,0.33485
"103",0.1039,0.1454,0.0253,0.3102,0.12465,0.16775
"104",0.102,8e-04,0.0246,0.3042,0.0514,0.1644
"105",0.1004,0.3778,0.025,0.9563,0.2391,0.49065
"106",0.1,0.3612,0.0251,0.9342,0.2306,0.47965
"107",0.1062,0.0742,0.0257,0.7265,0.0902,0.3761
"108",0.1027,0.3483,0.0258,0.6974,0.2255,0.3616
"109",0.1059,0.0167,0.0258,0.6653,0.0613,0.34555
"110",0.1086,0.1366,0.0262,0.5229,0.1226,0.27455
"111",0.1124,0.0594,0.0266,0.4747,0.0859,0.25065
"112",0.1093,0.0317,0.0256,0.4687,0.0705,0.24715
"113",0.1023,0.8705,0.0262,0.2741,0.4864,0.15015
"114",0.103,0.8441,0.0269,0.2661,0.47355,0.1465
"115",0.1147,0.3377,0.0266,0.9271,0.2262,0.47685
"116",0.1184,0.1538,0.0268,0.8629,0.1361,0.44485
"117",0.1124,0.0427,0.0273,0.6502,0.07755,0.33875
"118",0.1138,0.3686,0.0279,0.4606,0.2412,0.24425
"119",0.1198,0.083,0.0281,0.3583,0.1014,0.1932
"120",0.117,0.3563,0.0283,0.3081,0.23665,0.1682
"121",0.1254,0.0758,0.0284,0.256,0.1006,0.1422
"122",0.1161,0.8839,0.028,0.9562,0.5,0.4921
"123",0.1165,0.8581,0.0281,0.9181,0.4873,0.4731
"124",0.1277,0.3236,0.0286,0.7274,0.22565,0.378
"125",0.1338,0.0965,0.0287,0.7014,0.11515,0.36505
"126",0.1295,0.346,0.0288,0.6733,0.23775,0.35105
"127",0.1316,0.1577,0.0292,0.5238,0.14465,0.2765
"128",0.1399,0.0884,0.0293,0.4837,0.11415,0.2565
"129",0.131,0.8972,0.0298,0.3669,0.5141,0.19835
"130",0.1323,0.8756,0.0296,0.3512,0.50395,0.1904
"131",0.1284,0.8658,0.0296,0.911,0.4971,0.4703
"132",0.1413,0.3113,0.0297,0.8638,0.2263,0.44675
"133",0.1429,0.3319,0.0303,0.6552,0.2374,0.34275
"134",0.1487,0.1077,0.0308,0.4565,0.1282,0.24365
"135",0.1478,0.1642,0.0312,0.305,0.156,0.1681
"136",0.1543,0.0892,0.0314,0.2489,0.12175,0.14015
"137",0.146,0.9091,0.0309,0.9621,0.52755,0.4965
"138",0.146,0.8887,0.0315,0.7273,0.51735,0.3794
"139",0.14,0.8773,0.0316,0.7053,0.50865,0.36845
"140",0.1562,0.3036,0.0317,0.6812,0.2299,0.35645
"141",0.1581,0.3241,0.0321,0.5277,0.2411,0.2799
"142",0.1634,0.1159,0.0322,0.4886,0.13965,0.2604
"143",0.1628,0.1703,0.0325,0.3712,0.16655,0.20185
"144",0.164,0.0814,0.0326,0.3441,0.1227,0.18835
"145",0.1706,0.1053,0.0319,0.3401,0.13795,0.186
"146",0.161,0.9199,0.0326,0.9728,0.54045,0.5027
"147",0.161,0.9003,0.0325,0.9059,0.53065,0.4692
"148",0.1541,0.894,0.0318,0.9019,0.52405,0.46685
"149",0.1714,0.307,0.0329,0.8684,0.2392,0.45065
"150",0.1731,0.2884,0.0319,0.8618,0.23075,0.44685
"151",0.1779,0.1747,0.0332,0.6611,0.1763,0.34715
"152",0.1807,0.0896,0.0338,0.4484,0.13515,0.2411
"153",0.1835,0.1125,0.0331,0.4444,0.148,0.23875
"154",0.1851,0.2794,0.0341,0.4263,0.23225,0.2302
"155",0.1759,0.93,0.0331,0.4183,0.55295,0.2257
"156",0.1755,0.9106,0.0339,0.4103,0.54305,0.2221
"157",0.1865,0.3116,0.0341,0.334,0.24905,0.18405
"158",0.1887,0.15,0.0342,0.3019,0.16935,0.16805
