turk;turk2
573.68;454.23
523.41;506.09
513.98;515.82
781.31;240.04
775.03;246.52
771.28;250.39
765.6;256.25
761.85;260.12
758.71;263.36
755.57;266.6
752.43;269.84
749.28;273.08
746.14;276.32
743;279.56
739.86;282.81
736.71;286.05
733.57;289.29
730.43;292.53
727.29;295.77
724.15;299.01
721;302.25
712.19;311.35
708.44;315.22
705.29;318.46
702.15;321.7
690.19;334.04
686.44;337.91
683.3;341.15
680.16;344.39
677.02;347.63
673.87;350.87
621.07;405.35
617.32;409.22
614.17;412.46
611.03;415.7
607.89;418.94
604.75;422.18
601.61;425.42
598.46;428.67
592.79;434.52
589.04;438.39
585.9;441.63
582.75;444.87
579.61;448.11
576.47;451.36
570.79;457.21
567.04;461.08
563.9;464.32
560.76;467.56
557.62;470.8
554.47;474.04
551.33;477.29
548.19;480.53
545.05;483.77
541.91;487.01
538.76;490.25
535.62;493.49
532.48;496.73
529.34;499.98
520.52;509.07
516.77;512.94
511.23;518.66
784.97;236.27
715.85;307.57
696.63;327.4
692.55;331.61
655.78;369.54
651.52;373.93
648.38;377.17
645.24;380.41
642.1;383.65
638.96;386.9
526.54;502.87
507.82;522.18
670.28;354.58
666.53;358.45
663.39;361.69
660.25;364.93
635.72;390.24
631.97;394.11
628.83;397.35
625.68;400.59
504.01;526.1
789.83;231.26
780.41;240.98
776.15;245.37
773.01;248.61
769.86;251.85
766.72;255.1
763.58;258.34
760.44;261.58
757.3;264.82
754.15;268.06
751.01;271.3
747.87;274.54
744.73;277.79
741.59;281.03
738.44;284.27
735.3;287.51
732.16;290.75
729.02;293.99
725.87;297.23
722.73;300.47
719.59;303.72
711.28;312.29
707.02;316.68
703.88;319.92
700.74;323.16
689.29;334.98
685.03;339.37
681.89;342.61
678.74;345.85
675.6;349.09
672.63;352.16
622.88;403.48
619.04;407.44
615.9;410.68
612.76;413.92
609.62;417.16
606.48;420.4
603.33;423.65
600.19;426.89
597.05;430.13
593.91;433.37
590.77;436.61
587.62;439.85
584.48;443.09
581.34;446.34
578.2;449.58
575.06;452.82
571.91;456.06
568.77;459.3
565.63;462.54
562.49;465.78
559.34;469.02
556.2;472.27
553.06;475.51
549.92;478.75
546.78;481.99
543.63;485.23
540.49;488.47
537.35;491.71
534.21;494.96
531.07;498.2
522.76;506.77
518.5;511.16
515.36;514.4
512.21;517.64
785.48;235.75
716.35;307.06
697.5;326.5
693.75;330.37
656.74;368.55
653.26;372.15
650.11;375.39
646.97;378.63
643.83;381.87
640.69;385.11
527.57;501.81
508.72;521.25
499.47;530.8
795.06;225.87
669.48;355.41
665.82;359.19
662.68;362.43
659.53;365.67
637.54;388.36
633.35;392.68
630.73;395.38
628.12;398.08
505.57;524.5
502.43;527.74
497.19;533.15
790.71;230.36
781.28;240.08
777.53;243.95
774.39;247.19
771.24;250.44
768.1;253.68
764.96;256.92
761.82;260.16
758.67;263.4
755.53;266.64
752.39;269.88
749.25;273.12
746.11;276.37
742.96;279.61
739.82;282.85
736.68;286.09
733.54;289.33
730.4;292.57
727.25;295.81
724.11;299.06
720.97;302.3
712.15;311.39
708.4;315.26
705.26;318.5
702.12;321.74
690.6;333.63
686.76;337.59
683.62;340.83
680.74;343.8
677.07;347.58
674.19;350.55
621.83;404.57
618.68;407.81
615.01;411.6
612.4;414.3
609.25;417.54
605.59;421.33
602.97;424.02
599.83;427.27
596.68;430.51
593.54;433.75
590.4;436.99
587.26;440.23
584.12;443.48
580.97;446.72
577.83;449.96
