q1;q2
0.0764;0.9888
0.0757;0.9828
0.0764;0.9747
0.0770;0.7580
0.0773;0.6627
0.0790;0.0407
0.0791;-0.0004
0.0791;-0.0165
0.0779;0.9696
0.0787;0.7667
0.0802;0.6626
0.0819;0.0406
0.0820;-0.0005
0.0821;-0.0126
0.0809;0.9655
0.0814;0.7759
0.0832;0.6615
0.0849;0.0355
0.0850;-0.0006
0.0850;-0.0106
0.0851;-0.0367
0.0851;-0.0438
0.0838;0.9654
0.0843;0.7798
0.0865;-0.0267
0.0861;0.6594
0.0878;0.0344
0.0879;0.0053
0.0872;-0.0027
0.0879;-0.0117
0.0880;-0.0459
0.0867;0.9704
0.0873;0.7798
0.0875;0.6895
0.0875;0.6814
0.0894;-0.0208
0.0890;0.6744
0.0891;0.6583
0.0908;0.0353
0.0908;0.0112
0.0909;-0.0148
0.0912;-0.0403
0.0902;-0.0469
0.0897;0.9683
0.0902;0.7787
0.0904;0.6914
0.0905;0.6663
0.0917;-0.0229
0.0913;0.6593
0.0937;0.0372
0.0938;0.0142
0.0939;-0.0320
0.0926;0.9622
0.0931;0.7766
0.0934;0.6913
0.0966;0.0371
0.0967;0.0181
0.0968;-0.0271
0.0956;0.9621
0.0961;0.7755
0.0963;0.6892
0.0996;0.0370
0.0996;0.0200
0.0997;-0.0071
0.0997;-0.0141
0.0990;-0.0211
0.0985;0.9720
0.0978;0.9640
0.0990;0.7754
0.0993;0.6851
0.0993;0.6690
0.1008;0.6620
0.1025;0.0359
0.1025;0.0249
0.1026;-0.0082
0.1014;0.9749
0.1020;0.7773
0.1022;0.6790
0.1023;0.6719
0.1038;0.6599
0.1056;-0.0093
0.1044;0.9698
0.1049;0.7812
0.1070;0.0067
0.1070;-0.0003
0.1067;0.6578
0.1078;-0.0094
0.1073;0.9637
0.1074;0.9356
0.1067;0.9256
0.1075;0.9186
0.1078;0.7861
0.1100;0.0046
0.1089;0.9105
0.1096;0.6567
0.1114;-0.0025
0.1103;0.9586
0.1103;0.9415
